0_0: AT4G39850.1
1_4149: Cre10.g466100.t1.2
1_4150: Cre15.g635350.t2.1
1_4151: Cre12.g519350.t1.2
1_4152: Cre10.g426950.t1.2
1_4153: Cre01.g034380.t1.2
1_4154: Cre01.g030100.t2.1
1_4155: Cre16.g677000.t1.2
1_4156: Cre15.g641266.t1.1
1_4157: Cre12.g553350.t1.1
1_4158: Cre08.g373764.t1.1
1_4159: Cre06.g253582.t1.1
1_4160: Cre13.g570400.t1.2
1_4161: Cre11.g467597.t1.1
1_4162: Cre08.g373225.t1.1
1_4163: Cre12.g485550.t1.2
1_4164: Cre12.g549100.t4.1
1_4165: Cre04.g231320.t1.1
1_4166: Cre12.g515050.t1.1
1_4167: Cre12.g532550.t1.1
1_4168: Cre02.g094700.t1.2
1_4169: Cre06.g302250.t1.1
1_4170: Cre03.g190050.t1.1
1_4171: Cre12.g543550.t1.1
1_4172: Cre06.g263400.t1.2
1_4173: Cre12.g510050.t1.2
1_4174: Cre06.g278153.t1.1
1_4175: Cre12.g529301.t1.1
1_4176: Cre06.g309450.t1.2
1_4177: Cre14.g633425.t1.1
1_4178: Cre11.g480451.t1.1
1_4179: Cre03.g159550.t2.1
1_4180: Cre03.g203121.t1.1
1_4181: Cre06.g252550.t1.1
1_4182: Cre06.g301900.t1.1
1_4183: Cre11.g467530.t1.1
1_4184: Cre16.g668050.t1.1
1_4185: Cre04.g227526.t1.1
1_4186: Cre16.g675958.t1.1
1_4187: Cre17.g725851.t1.1
1_4188: Cre09.g391838.t1.1
1_4189: Cre12.g509150.t1.1
1_4190: Cre11.g467585.t1.1
1_4191: Cre01.g016050.t1.2
1_4192: Cre02.g091600.t1.1
1_4193: Cre10.g434300.t1.1
1_4194: Cre16.g659450.t1.2
1_4195: Cre05.g239652.t1.1
1_4196: Cre11.g467653.t1.1
1_4197: Cre16.g683437.t1.1
1_4198: Cre16.g652850.t1.2
1_4199: Cre02.g085400.t1.1
1_4200: Cre10.g421000.t1.1
1_4201: Cre13.g566700.t1.1
1_4202: Cre02.g100100.t1.1
1_4203: Cre01.g022950.t1.2
1_4204: Cre17.g722050.t2.1
1_4205: Cre06.g270726.t1.1
1_4206: Cre17.g701050.t1.2
1_4207: Cre05.g233400.t1.1
1_4208: Cre03.g171850.t1.1
1_4209: Cre23.g754697.t2.1
1_4210: Cre02.g145700.t1.2
1_4211: Cre17.g747697.t1.1
1_4212: Cre02.g073350.t1.2
1_4213: Cre13.g571800.t1.1
1_4214: Cre06.g275700.t1.2
1_4215: Cre09.g408300.t1.2
1_4216: Cre02.g110800.t1.1
1_4217: Cre15.g634582.t1.1
1_4218: Cre09.g405300.t2.1
1_4219: Cre16.g667150.t1.2
1_4220: Cre12.g502650.t1.1
1_4221: Cre05.g241640.t1.1
1_4222: Cre06.g278134.t1.1
1_4223: Cre05.g232200.t1.2
1_4224: Cre16.g655350.t1.1
1_4225: Cre10.g451350.t1.1
1_4226: Cre13.g604950.t1.1
1_4227: Cre16.g677750.t1.2
1_4228: Cre03.g172950.t1.2
1_4229: Cre13.g562475.t1.1
1_4230: Cre06.g276371.t1.2
1_4231: Cre02.g095109.t1.1
1_4232: Cre06.g290550.t1.1
1_4233: Cre16.g687630.t2.1
1_4234: Cre12.g552550.t1.1
1_4235: Cre02.g100666.t1.1
1_4236: Cre13.g586250.t1.2
1_4237: Cre03.g212529.t1.1
1_4238: Cre08.g379750.t1.2
1_4239: Cre11.g482600.t1.1
1_4240: Cre16.g690000.t1.2
1_4241: Cre05.g233950.t1.2
1_4242: Cre02.g141106.t2.1
1_4243: Cre12.g554700.t1.2
1_4244: Cre08.g358751.t1.1
1_4245: Cre02.g075750.t1.1
1_4246: Cre07.g355400.t1.1
1_4247: Cre14.g630895.t2.1
1_4248: Cre02.g112250.t1.2
1_4249: Cre14.g630787.t1.1
1_4250: Cre06.g278240.t1.1
1_4251: Cre01.g035900.t1.1
1_4252: Cre02.g092284.t2.1
1_4253: Cre09.g396750.t3.1
1_4254: Cre03.g166100.t1.2
1_4255: Cre02.g093202.t1.1
1_4256: Cre06.g278190.t1.1
1_4257: Cre07.g317626.t1.1
1_4258: Cre09.g392060.t2.1
1_4259: Cre17.g730300.t1.2
1_4260: Cre16.g672397.t1.1
1_4261: Cre03.g181500.t1.2
1_4262: Cre07.g325759.t1.1
1_4263: Cre13.g566800.t2.1
1_4264: Cre06.g295200.t1.2
1_4265: Cre05.g247650.t1.1
1_4266: Cre14.g629464.t1.1
1_4267: Cre12.g487650.t1.1
1_4268: Cre12.g529050.t1.2
1_4269: Cre09.g409250.t1.2
1_4270: Cre01.g013100.t1.1
1_4271: Cre09.g398512.t1.1
1_4272: Cre06.g294500.t1.1
1_4273: Cre06.g270276.t1.1
1_4274: Cre06.g310400.t1.1
1_4275: Cre07.g340150.t2.1
1_4276: Cre16.g681301.t1.1
1_4277: Cre02.g083450.t1.1
1_4278: Cre07.g324222.t1.1
1_4279: Cre12.g526850.t1.2
1_4280: Cre08.g367600.t1.2
1_4281: Cre01.g001700.t1.1
1_4282: Cre01.g030150.t1.2
1_4283: Cre12.g526264.t1.1
1_4284: Cre09.g387250.t1.1
1_4285: Cre06.g297650.t2.1
1_4286: Cre17.g712050.t1.1
1_4287: Cre06.g267600.t1.2
1_4288: Cre12.g546850.t1.2
1_4289: Cre13.g577150.t1.2
1_4290: Cre13.g585150.t1.2
1_4291: Cre03.g154300.t1.1
1_4292: Cre04.g229518.t1.2
1_4293: Cre11.g477400.t1.1
1_4294: Cre10.g455950.t1.1
1_4295: Cre07.g324400.t1.2
1_4296: Cre02.g145350.t1.1
1_4297: Cre04.g223400.t1.2
1_4298: Cre12.g484550.t1.2
1_4299: Cre12.g511640.t1.1
1_4300: Cre06.g278086.t1.1
1_4301: Cre04.g223650.t1.1
1_4302: Cre09.g387050.t1.2
1_4303: Cre09.g392300.t1.1
1_4304: Cre06.g278195.t1.1
1_4305: Cre09.g399960.t1.1
1_4306: Cre02.g107650.t1.2
1_4307: Cre17.g744847.t1.1
1_4308: Cre02.g095081.t2.1
1_4309: Cre03.g174476.t1.2
1_4310: Cre09.g387356.t1.1
1_4311: Cre02.g092350.t1.2
1_4312: Cre12.g499550.t1.2
1_4313: Cre12.g551600.t1.2
1_4314: Cre13.g578650.t1.1
1_4315: Cre14.g623900.t1.1
1_4316: Cre17.g725950.t2.1
1_4317: Cre02.g101900.t1.1
1_4318: Cre10.g459750.t1.2
1_4319: Cre12.g513000.t1.1
1_4320: Cre07.g348700.t2.1
1_4321: Cre10.g426700.t1.1
1_4322: Cre09.g389838.t1.1
1_4323: Cre10.g455100.t1.1
1_4324: Cre11.g467708.t2.1
1_4325: Cre01.g022600.t2.1
1_4326: Cre12.g496402.t1.1
1_4327: Cre05.g235060.t1.1
1_4328: Cre12.g546750.t1.1
1_4329: Cre03.g198200.t1.1
1_4330: Cre14.g612150.t1.1
1_4331: Cre01.g018850.t1.2
1_4332: Cre02.g089274.t1.1
1_4333: Cre02.g089550.t2.1
1_4334: Cre12.g497500.t1.2
1_4335: Cre04.g226926.t1.1
1_4336: Cre04.g218900.t1.1
1_4337: Cre09.g387200.t1.1
1_4338: Cre06.g308850.t1.2
1_4339: Cre17.g735900.t1.1
1_4340: Cre04.g222500.t1.1
1_4341: Cre02.g140941.t1.1
1_4342: Cre12.g544200.t1.1
1_4343: Cre06.g259950.t1.1
1_4344: Cre10.g431000.t1.1
1_4345: Cre08.g374050.t1.2
1_4346: Cre18.g748897.t1.1
1_4347: Cre01.g044550.t1.2
1_4348: Cre09.g414050.t1.2
1_4349: Cre01.g002250.t1.2
1_4350: Cre09.g396326.t1.1
1_4351: Cre01.g023450.t1.2
1_4352: Cre12.g507557.t1.1
1_4353: Cre06.g278264.t1.1
1_4354: Cre06.g305500.t2.1
1_4355: Cre09.g412803.t1.2
1_4356: Cre09.g387171.t1.1
1_4357: Cre03.g207041.t1.1
1_4358: Cre02.g098850.t1.1
1_4359: Cre07.g345650.t1.2
1_4360: Cre14.g613426.t1.1
1_4361: Cre09.g414150.t2.1
1_4362: Cre03.g196500.t1.1
1_4363: Cre06.g278191.t1.1
1_4364: Cre17.g737350.t1.1
1_4365: Cre11.g467566.t1.1
1_4366: Cre01.g006900.t2.1
1_4367: Cre09.g400900.t1.2
1_4368: Cre17.g720750.t1.2
1_4369: Cre17.g731200.t1.1
1_4370: Cre03.g198863.t1.1
1_4371: Cre07.g337250.t1.2
1_4372: Cre13.g605404.t1.1
1_4373: Cre10.g436200.t1.1
1_4374: Cre12.g548550.t1.1
1_4375: Cre02.g141966.t2.1
1_4376: Cre03.g188700.t1.2
1_4377: Cre07.g329050.t1.2
1_4378: Cre03.g208049.t1.1
1_4379: Cre09.g394065.t2.1
1_4380: Cre06.g285900.t1.1
1_4381: Cre01.g001501.t1.1
1_4382: Cre02.g087950.t1.2
1_4383: Cre01.g021950.t1.1
1_4384: Cre09.g389550.t1.1
1_4385: Cre06.g278218.t1.1
1_4386: Cre12.g555350.t1.2
1_4387: Cre08.g374436.t1.2
1_4388: Cre14.g627422.t1.1
1_4389: Cre06.g288050.t1.2
1_4390: Cre16.g693700.t1.2
1_4391: Cre07.g356950.t1.1
1_4392: Cre03.g202113.t1.1
1_4393: Cre10.g424200.t1.1
1_4394: Cre07.g340050.t1.1
1_4395: Cre12.g560902.t1.1
1_4396: Cre12.g531750.t1.2
1_4397: Cre08.g359000.t1.2
1_4398: Cre13.g563250.t1.2
1_4399: Cre12.g555000.t1.1
1_4400: Cre10.g455300.t1.2
1_4401: Cre07.g355600.t1.1
1_4402: Cre16.g657100.t1.1
1_4403: Cre17.g709900.t1.1
1_4404: Cre06.g296100.t1.2
1_4405: Cre12.g536150.t1.1
1_4406: Cre14.g623150.t1.1
1_4407: Cre02.g092750.t1.1
1_4408: Cre17.g712200.t2.1
1_4409: Cre06.g278750.t1.2
1_4410: Cre12.g506550.t1.1
1_4411: Cre40.g760147.t1.1
1_4412: Cre12.g516150.t1.2
1_4413: Cre01.g041200.t1.1
1_4414: Cre06.g283034.t1.1
1_4415: Cre06.g271188.t1.2
1_4416: Cre03.g190311.t3.1
1_4417: Cre03.g188900.t1.2
1_4418: Cre01.g025950.t1.2
1_4419: Cre09.g394900.t1.1
1_4420: Cre10.g448950.t1.1
1_4421: Cre15.g638401.t1.1
1_4422: Cre08.g377850.t1.2
1_4423: Cre09.g395028.t1.1
1_4424: Cre02.g093150.t1.2
1_4425: Cre01.g026050.t1.1
1_4426: Cre13.g572700.t1.2
1_4427: Cre13.g573450.t1.2
1_4428: Cre14.g631200.t1.2
1_4429: Cre03.g158100.t1.2
1_4430: Cre12.g561101.t1.1
1_4431: Cre03.g158450.t1.2
1_4432: Cre02.g142486.t1.1
1_4433: Cre07.g331114.t3.1
1_4434: Cre02.g143607.t1.1
1_4435: Cre10.g446800.t1.2
1_4436: Cre14.g618150.t1.2
1_4437: Cre01.g027400.t2.1
1_4438: Cre07.g351000.t1.1
1_4439: Cre04.g232303.t1.1
1_4440: Cre08.g363500.t1.2
1_4441: Cre12.g494900.t1.2
1_4442: Cre12.g516300.t1.1
1_4443: Cre08.g371301.t1.1
1_4444: Cre11.g480750.t1.1
1_4445: Cre04.g218250.t1.2
1_4446: Cre01.g037400.t1.1
1_4447: Cre02.g074720.t1.1
1_4448: Cre13.g588386.t1.1
1_4449: Cre02.g143347.t1.1
1_4450: Cre13.g570900.t1.1
1_4451: Cre07.g325741.t1.1
1_4452: Cre09.g410350.t1.1
1_4453: Cre09.g389000.t1.1
1_4454: Cre14.g608100.t1.1
1_4455: Cre09.g394732.t1.1
1_4456: Cre07.g325712.t1.1
1_4457: Cre13.g604700.t1.1
1_4458: Cre06.g302450.t1.1
1_4459: Cre12.g487601.t1.1
1_4460: Cre33.g758897.t1.1
1_4461: Cre10.g461950.t1.2
1_4462: Cre07.g342200.t1.2
1_4463: Cre11.g467562.t1.1
1_4464: Cre10.g453200.t1.1
1_4465: Cre17.g742000.t1.2
1_4466: Cre09.g390245.t1.1
1_4467: Cre12.g522626.t1.1
1_4468: Cre17.g707250.t1.2
1_4469: Cre05.g234642.t1.1
1_4470: Cre16.g692003.t1.1
1_4471: Cre07.g353837.t1.2
1_4472: Cre07.g338200.t1.2
1_4473: Cre13.g582755.t2.1
1_4474: Cre01.g008300.t2.1
1_4475: Cre02.g104150.t1.1
1_4476: Cre03.g169150.t1.2
1_4477: Cre09.g400800.t1.2
1_4478: Cre03.g143767.t1.1
1_4479: Cre03.g192676.t1.1
1_4480: Cre05.g241650.t1.1
1_4481: Cre09.g390726.t1.1
1_4482: Cre16.g649350.t1.1
1_4483: Cre14.g633350.t1.1
1_4484: Cre06.g278101.t1.1
1_4485: Cre13.g567150.t1.2
1_4486: Cre12.g535650.t1.2
1_4487: Cre17.g703550.t1.2
1_4488: Cre08.g365900.t1.2
1_4489: Cre16.g671000.t1.2
1_4490: Cre08.g359200.t1.1
1_4491: Cre15.g642702.t1.1
1_4492: Cre03.g190311.t2.1
1_4493: Cre07.g349750.t1.2
1_4494: Cre16.g652600.t1.1
1_4495: Cre02.g141701.t1.1
1_4496: Cre12.g525600.t1.1
1_4497: Cre02.g081300.t1.1
1_4498: Cre16.g658400.t1.2
1_4499: Cre06.g278243.t1.1
1_4500: Cre10.g448700.t1.2
1_4501: Cre15.g641500.t1.2
1_4502: Cre12.g528926.t1.1
1_4503: Cre06.g279183.t1.1
1_4504: Cre06.g278169.t1.1
1_4505: Cre04.g220461.t1.1
1_4506: Cre02.g141350.t1.2
1_4507: Cre12.g522100.t1.1
1_4508: Cre06.g269450.t1.2
1_4509: Cre01.g012222.t1.1
1_4510: Cre02.g104100.t1.2
1_4511: Cre02.g147500.t1.2
1_4512: Cre01.g021251.t1.1
1_4513: Cre12.g514600.t1.1
1_4514: Cre02.g076300.t1.1
1_4515: Cre17.g705050.t1.2
1_4516: Cre17.g741100.t1.2
1_4517: Cre10.g441850.t1.1
1_4518: Cre16.g689100.t1.1
1_4519: Cre11.g481300.t1.1
1_4520: Cre03.g152650.t1.1
1_4521: Cre16.g691204.t2.1
1_4522: Cre06.g251550.t1.1
1_4523: Cre12.g534700.t1.2
1_4524: Cre02.g146950.t1.1
1_4525: Cre17.g708400.t1.2
1_4526: Cre06.g276900.t1.2
1_4527: Cre06.g294250.t1.2
1_4528: Cre03.g188250.t1.2
1_4529: Cre08.g369250.t1.2
1_4530: Cre01.g040650.t3.1
1_4531: Cre06.g277150.t1.2
1_4532: Cre02.g084650.t1.2
1_4533: Cre16.g681450.t1.2
1_4534: Cre03.g169500.t1.2
1_4535: Cre06.g278108.t1.1
1_4536: Cre04.g225050.t1.1
1_4537: Cre17.g733000.t1.2
1_4538: Cre13.g573400.t1.2
1_4539: Cre10.g422718.t1.2
1_4540: Cre04.g229450.t1.1
1_4541: Cre09.g390134.t1.1
1_4542: Cre06.g281563.t1.1
1_4543: Cre02.g107256.t1.1
1_4544: Cre06.g296983.t1.1
1_4545: Cre17.g743797.t1.1
1_4546: Cre15.g641650.t1.1
1_4547: Cre12.g553250.t1.2
1_4548: Cre16.g681351.t1.2
1_4549: Cre10.g456250.t1.2
1_4550: Cre11.g467529.t1.1
1_4551: Cre08.g365000.t1.1
1_4552: Cre07.g330700.t1.2
1_4553: Cre12.g529950.t1.2
1_4554: Cre12.g528000.t1.2
1_4555: Cre07.g338500.t1.1
1_4556: Cre16.g655900.t1.2
1_4557: Cre06.g307400.t1.2
1_4558: Cre06.g278260.t1.1
1_4559: Cre08.g373050.t1.1
1_4560: Cre24.g755097.t1.1
1_4561: Cre17.g736000.t2.1
1_4562: Cre12.g510034.t1.1
1_4563: Cre07.g323400.t1.2
1_4564: Cre01.g033750.t1.1
1_4565: Cre10.g426152.t1.1
1_4566: Cre09.g396500.t1.1
1_4567: Cre10.g458350.t3.1
1_4568: Cre11.g477250.t1.1
1_4569: Cre10.g466150.t1.2
1_4570: Cre10.g449150.t1.1
1_4571: Cre12.g539201.t2.1
1_4572: Cre12.g503750.t1.1
1_4573: Cre12.g544300.t2.1
1_4574: Cre11.g480700.t2.1
1_4575: Cre06.g275450.t1.1
1_4576: Cre02.g141086.t1.1
1_4577: Cre17.g699950.t1.1
1_4578: Cre08.g370250.t1.2
1_4579: Cre10.g445201.t1.1
1_4580: Cre12.g561300.t2.1
1_4581: Cre11.g475000.t1.1
1_4582: Cre01.g040400.t1.2
1_4583: Cre09.g390912.t1.1
1_4584: Cre14.g614900.t1.2
1_4585: Cre11.g483400.t1.1
1_4586: Cre17.g699800.t1.1
1_4587: Cre10.g435050.t2.1
1_4588: Cre06.g262500.t1.2
1_4589: Cre07.g318702.t1.1
1_4590: Cre16.g682699.t1.1
1_4591: Cre07.g349966.t1.1
1_4592: Cre17.g706800.t1.2
1_4593: Cre02.g107500.t1.2
1_4594: Cre09.g389763.t1.1
1_4595: Cre16.g678000.t1.2
1_4596: Cre16.g689983.t1.1
1_4597: Cre05.g243150.t1.1
1_4598: Cre03.g145627.t1.1
1_4599: Cre14.g633903.t1.2
1_4600: Cre03.g148100.t1.2
1_4601: Cre09.g390100.t1.1
1_4602: Cre09.g396624.t1.1
1_4603: Cre03.g151000.t1.2
1_4604: Cre06.g257183.t1.1
1_4605: Cre09.g393900.t1.2
1_4606: Cre06.g250902.t1.1
1_4607: Cre06.g276750.t1.1
1_4608: Cre10.g424350.t1.1
1_4609: Cre07.g326450.t1.1
1_4610: Cre08.g377300.t1.1
1_4611: Cre06.g252850.t2.1
1_4612: Cre07.g347250.t1.1
1_4613: Cre17.g699350.t1.1
1_4614: Cre08.g363000.t1.2
1_4615: Cre13.g579300.t1.1
1_4616: Cre16.g651550.t1.2
1_4617: Cre01.g024900.t1.1
1_4618: Cre12.g524600.t1.2
1_4619: Cre12.g548550.t2.1
1_4620: Cre10.g446900.t1.2
1_4621: Cre10.g423800.t1.1
1_4622: Cre12.g533850.t1.1
1_4623: Cre19.g750847.t3.1
1_4624: Cre13.g572450.t1.2
1_4625: Cre07.g345200.t1.1
1_4626: Cre04.g228208.t2.1
1_4627: Cre10.g437700.t1.2
1_4628: Cre06.g301850.t1.1
1_4629: Cre05.g233450.t1.2
1_4630: Cre05.g245500.t2.1
1_4631: Cre12.g492900.t1.1
1_4632: Cre03.g154651.t1.1
1_4633: Cre03.g161450.t1.2
1_4634: Cre12.g546550.t1.1
1_4635: Cre16.g673200.t1.2
1_4636: Cre12.g518700.t1.1
1_4637: Cre01.g001600.t1.2
1_4638: Cre17.g719771.t1.1
1_4639: Cre15.g643499.t1.2
1_4640: Cre13.g565700.t1.1
1_4641: Cre07.g340700.t1.1
1_4642: Cre03.g167200.t1.1
1_4643: Cre04.g223540.t1.2
1_4644: Cre17.g737800.t1.2
1_4645: Cre17.g742750.t1.2
1_4646: Cre09.g402515.t1.1
1_4647: Cre07.g343700.t1.2
1_4648: Cre09.g413200.t1.1
1_4649: Cre05.g232900.t1.1
1_4650: Cre09.g391000.t1.1
1_4651: Cre16.g660331.t1.2
1_4652: Cre16.g687406.t1.1
1_4653: Cre06.g292183.t1.1
1_4654: Cre09.g399300.t1.2
1_4655: Cre04.g214600.t1.1
1_4656: Cre17.g707800.t1.2
1_4657: Cre03.g174600.t1.1
1_4658: Cre17.g708300.t1.2
1_4659: Cre06.g264950.t1.2
1_4660: Cre07.g346850.t1.2
1_4661: Cre06.g289450.t1.1
1_4662: Cre01.g020400.t1.2
1_4663: Cre04.g227301.t1.1
1_4664: Cre01.g034700.t1.1
1_4665: Cre16.g652350.t1.2
1_4666: Cre02.g088350.t1.1
1_4667: Cre06.g278156.t1.1
1_4668: Cre05.g237050.t1.1
1_4669: Cre10.g430300.t1.2
1_4670: Cre13.g572900.t2.1
1_4671: Cre12.g555001.t1.1
1_4672: Cre10.g417750.t1.1
1_4673: Cre08.g373000.t1.2
1_4674: Cre03.g200879.t2.1
1_4675: Cre05.g239151.t1.1
1_4676: Cre01.g011250.t1.1
1_4677: Cre26.g756697.t1.1
1_4678: Cre16.g686200.t1.1
1_4679: Cre06.g276400.t1.1
1_4680: Cre03.g176651.t1.1
1_4681: Cre06.g273300.t1.2
1_4682: Cre05.g243472.t1.2
1_4683: Cre17.g718468.t1.2
1_4684: Cre13.g576800.t1.1
1_4685: Cre13.g566626.t1.1
1_4686: Cre01.g054100.t1.1
1_4687: Cre06.g278700.t1.1
1_4688: Cre02.g077800.t1.2
1_4689: Cre16.g680100.t1.2
1_4690: Cre12.g519100.t1.2
1_4691: Cre12.g523900.t1.1
1_4692: Cre02.g095091.t1.1
1_4693: Cre05.g244650.t1.1
1_4694: Cre12.g489200.t1.1
1_4695: Cre03.g208550.t1.2
1_4696: Cre06.g283700.t1.2
1_4697: Cre02.g141106.t1.1
1_4698: Cre03.g189901.t1.1
1_4699: Cre02.g083354.t1.2
1_4700: Cre06.g257800.t1.1
1_4701: Cre17.g696750.t1.1
1_4702: Cre07.g352850.t1.2
1_4703: Cre08.g369550.t1.2
1_4704: Cre10.g465226.t1.1
1_4705: Cre04.g217985.t1.1
1_4706: Cre04.g229650.t4.1
1_4707: Cre14.g627800.t1.2
1_4708: Cre05.g232800.t1.1
1_4709: Cre14.g618000.t1.2
1_4710: Cre12.g559053.t1.1
1_4711: Cre10.g457100.t1.2
1_4712: Cre06.g304950.t1.2
1_4713: Cre05.g237930.t1.1
1_4714: Cre08.g358950.t1.1
1_4715: Cre14.g608350.t1.2
1_4716: Cre03.g190100.t1.1
1_4717: Cre09.g406200.t1.2
1_4718: Cre11.g480000.t1.2
1_4719: Cre10.g435775.t1.1
1_4720: Cre02.g080800.t1.2
1_4721: Cre17.g739350.t1.1
1_4722: Cre09.g393469.t1.1
1_4723: Cre10.g431650.t1.2
1_4724: Cre04.g223500.t1.1
1_4725: Cre02.g096455.t1.2
1_4726: Cre04.g216875.t1.1
1_4727: Cre07.g317350.t1.2
1_4728: Cre17.g732300.t1.2
1_4729: Cre16.g689450.t1.2
1_4730: Cre03.g161050.t1.2
1_4731: Cre02.g092650.t1.1
1_4732: Cre01.g046652.t1.1
1_4733: Cre02.g074250.t1.1
1_4734: Cre01.g012300.t1.1
1_4735: Cre03.g203233.t1.1
1_4736: Cre17.g738850.t1.2
1_4737: Cre02.g113626.t1.1
1_4738: Cre08.g381750.t1.1
1_4739: Cre01.g035350.t1.2
1_4740: Cre12.g509050.t1.1
1_4741: Cre17.g712000.t1.1
1_4742: Cre04.g222650.t1.1
1_4743: Cre06.g273450.t1.1
1_4744: Cre16.g687450.t1.2
1_4745: Cre02.g088700.t1.2
1_4746: Cre19.g750247.t1.1
1_4747: Cre07.g347300.t1.1
1_4748: Cre09.g397700.t1.1
1_4749: Cre17.g721200.t1.2
1_4750: Cre10.g428150.t1.1
1_4751: Cre17.g741150.t1.1
1_4752: Cre04.g219796.t1.2
1_4753: Cre11.g469650.t2.1
1_4754: Cre01.g018000.t1.1
1_4755: Cre09.g390541.t1.1
1_4756: Cre07.g317438.t1.2
1_4757: Cre16.g677700.t1.1
1_4758: Cre10.g424050.t1.1
1_4759: Cre03.g197450.t1.1
1_4760: Cre28.g757497.t1.1
1_4761: Cre06.g297650.t1.2
1_4762: Cre08.g382590.t2.1
1_4763: Cre02.g078700.t1.1
1_4764: Cre35.g759247.t1.1
1_4765: Cre11.g482250.t1.1
1_4766: Cre02.g095141.t1.1
1_4767: Cre10.g424750.t1.2
1_4768: Cre02.g141066.t3.1
1_4769: Cre17.g703200.t1.2
1_4770: Cre12.g517700.t1.2
1_4771: Cre12.g503200.t1.2
1_4772: Cre12.g523816.t1.1
1_4773: Cre02.g145800.t1.2
1_4774: Cre01.g047450.t1.1
1_4775: Cre11.g467794.t1.1
1_4776: Cre05.g236400.t1.1
1_4777: Cre06.g289033.t1.2
1_4778: Cre11.g479850.t1.2
1_4779: Cre10.g432050.t1.2
1_4780: Cre03.g194800.t1.2
1_4781: Cre05.g241642.t1.1
1_4782: Cre07.g315750.t1.2
1_4783: Cre07.g314800.t1.2
1_4784: Cre12.g485350.t1.2
1_4785: Cre01.g047350.t1.1
1_4786: Cre12.g511902.t1.1
1_4787: Cre02.g110300.t1.2
1_4788: Cre10.g454550.t1.2
1_4789: Cre07.g347350.t2.1
1_4790: Cre04.g228050.t1.1
1_4791: Cre01.g013400.t1.1
1_4792: Cre17.g720800.t1.1
1_4793: Cre09.g402601.t1.1
1_4794: Cre10.g455800.t1.1
1_4795: Cre13.g574551.t1.1
1_4796: Cre06.g277850.t1.2
1_4797: Cre08.g372850.t1.2
1_4798: Cre09.g405650.t1.2
1_4799: Cre10.g450500.t1.1
1_4800: Cre09.g393400.t1.2
1_4801: Cre05.g232550.t1.2
1_4802: Cre17.g706650.t1.2
1_4803: Cre10.g427000.t1.2
1_4804: Cre12.g556650.t1.2
1_4805: Cre10.g464037.t1.2
1_4806: Cre07.g319226.t1.1
1_4807: Cre11.g467796.t1.1
1_4808: Cre06.g269350.t1.2
1_4809: Cre09.g414350.t1.1
1_4810: Cre09.g386746.t1.1
1_4811: Cre12.g558900.t1.2
1_4812: Cre08.g367900.t1.2
1_4813: Cre01.g037950.t1.1
1_4814: Cre09.g387875.t1.1
1_4815: Cre17.g738300.t1.2
1_4816: Cre08.g362019.t1.1
1_4817: Cre03.g192201.t1.1
1_4818: Cre02.g097200.t1.1
1_4819: Cre12.g551950.t1.2
1_4820: Cre08.g372200.t1.2
1_4821: Cre13.g575200.t1.1
1_4822: Cre13.g562350.t1.2
1_4823: Cre06.g264850.t1.1
1_4824: Cre16.g684050.t1.1
1_4825: Cre16.g675650.t1.2
1_4826: Cre16.g659700.t1.2
1_4827: Cre08.g359500.t1.1
1_4828: Cre16.g677250.t1.2
1_4829: Cre13.g604800.t1.2
1_4830: Cre07.g337300.t1.1
1_4831: Cre02.g074900.t1.1
1_4832: Cre13.g586650.t1.1
1_4833: Cre01.g038200.t1.2
1_4834: Cre02.g074758.t2.1
1_4835: Cre07.g352976.t1.1
1_4836: Cre17.g697900.t1.1
1_4837: Cre16.g693204.t1.1
1_4838: Cre07.g321951.t1.1
1_4839: Cre08.g373916.t1.1
1_4840: Cre16.g665550.t1.2
1_4841: Cre10.g465050.t1.1
1_4842: Cre25.g756197.t1.1
1_4843: Cre07.g333640.t1.1
1_4844: Cre09.g389245.t1.1
1_4845: Cre06.g305750.t1.2
1_4846: Cre10.g433476.t1.1
1_4847: Cre05.g239800.t1.1
1_4848: Cre10.g449020.t1.1
1_4849: Cre06.g254213.t1.1
1_4850: Cre30.g758097.t1.1
1_4851: Cre02.g146400.t1.2
1_4852: Cre08.g382750.t1.1
1_4853: Cre09.g401404.t1.1
1_4854: Cre01.g036300.t1.1
1_4855: Cre03.g201163.t1.1
1_4856: Cre12.g495401.t1.1
1_4857: Cre11.g467767.t1.1
1_4858: Cre09.g389500.t1.1
1_4859: Cre16.g693202.t1.1
1_4860: Cre17.g714500.t1.2
1_4861: Cre11.g467697.t2.1
1_4862: Cre06.g253852.t1.1
1_4863: Cre05.g232002.t1.1
1_4864: Cre08.g374400.t2.1
1_4865: Cre15.g637282.t1.1
1_4866: Cre17.g702900.t1.2
1_4867: Cre07.g347750.t1.1
1_4868: Cre02.g114650.t1.1
1_4869: Cre09.g391400.t1.1
1_4870: Cre03.g158600.t1.1
1_4871: Cre03.g200750.t1.1
1_4872: Cre10.g444044.t1.1
1_4873: Cre08.g365205.t2.1
1_4874: Cre17.g733050.t3.1
1_4875: Cre12.g559550.t1.2
1_4876: Cre14.g615224.t2.1
1_4877: Cre01.g049500.t1.2
1_4878: Cre17.g730350.t1.2
1_4879: Cre04.g227600.t1.2
1_4880: Cre06.g261100.t1.2
1_4881: Cre02.g082100.t1.1
1_4882: Cre01.g000033.t1.1
1_4883: Cre12.g489152.t1.1
1_4884: Cre08.g371400.t1.1
